Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,"Data Analyst, Consumer Hardware",Product & Customer Support,"Mountain View, CA, United States","tools, Analytics, decisions, Operations, presentations, shape, infrastructure, Build, analyzing, planning, launches, product, operational, provide, strategic, key, Define, recommendations, multiple, levels, reports, data, organization, Contribute, efficiency, package, sets, around, Customize, action, visibility, Support, Draw, improve, leadership, insights, quality, performance, analysis, maintain","tools, Business, Analytics, 4, Analytical, equivalent, practical, Data, Economics, role, experience, years, Intelligence, Tableau, degree, Engineering, SQL, BABS, related, Statistical, Science, Consulting, visualization, Computer","tools, requirements, decisions, strategically, towards, developing, scripting, technical, defining, Excellent, priorities, pragmatic, explaining, working, skills, clear, designing, business, complex, nontechnical, written, Experience, etc, environment, manner, deriving, work, oral, communicate, analyze, multiple, concepts, driving, impact, datasets, prioritize, evaluating, Ability, ability, communication, deal, users, executing, structured, findings, insights, Demonstrated, languages, objectively, analysis, intelligence, fastpaced, audience"
Google,Partner Onboarding Manager (Americas),Partnerships,"Seattle, WA, United States","Serve, scalable, process, proactively, manage, support, reduce, ecosystem, Google, practices, future, consistent, Cloud, business, efficient, first”, systems, changes, new, initiatives, development, Understand, propose, state, increase, partner, touch, Partners, onboard, necessary, partners, point, “Partner, points, fashion, develop, Contribute, partnership, ongoing, Partner, lifecycle, contact, energizes, Onboarding, teams, Promote, offers, operationally, Sales, success, friction, activities, existing","degree, 5, program, experience, equivalent, practical, Bachelors, years, andor, sales, market, development, channel, roles, management, partner, technology, business","global, deliver, assume, responsibility, scalable, competitive, successful, correspondence, technical, conflict, skills, Cloud, Passionate, build, presentations, models, Programs, highly, capacity, achieve, Experience, varying, channel, department, field, functions, partner, ScienceSoftware, 10, Advisory, drive, experience, MBA, years, collaborate, partners, Services, levels, relationships, possessing, results, organization, strong, Ability, ability, Masters, communication, email, degree, Engineering, include, design, Enterprise, transition, increasing, individuals, cloud, SaaS, quick, Software, resolve, converse, effectively, Exceptionally, Computer, programs, fastpaced, company"
Google,"Associate Account Strategist (Ukrainian), GMS Sales",Technical Solutions,"Dublin, Ireland","via, Provide, advertisers, proactively, goals, Google, customer, consistently, working, Implement, products, consultative, sales, delivering, marketing, role, outstanding, online, phone, strategic, Communicate, experience, share, relationships, prioritizing, creative, ways, best, customers, tailor, investment, email, Deliver, Googles, improve, strategy, get, help, promote, advice, suggestions","support, customer, account, equivalent, practical, fluently, sales, Ukrainian, marketing, Experience, internship, consulting, English, management, experience, Bachelors, idiomatically, write, Ability, degree, speak","base, goals, projects, manage, interested, difference, individual, customer, working, make, highly, Interest, Experience, contribution, bias, strategic, experience, multiple, attention, managing, leading, others, paying, worker, Ability, time, detail, well, Proactive, multitask, record, customizing, teamwork, motivating, Demonstrated, independent, toward, organized"
Google,"Survey Lead, Google Cloud Support",Product & Customer Support,"New York, NY, United States","track, Provide, stakeholders, support, manage, Google, quantitative, score, customer, dashboards, execution, effort, Demonstrate, Cloud, Apply, business, overall, products, smooth, Build, satisfaction, etc, partner, launches, ensure, operational, monitor, program, provide, meaningful, drive, influence, scientists, promoter, reports, level, data, presentation, net, metrics, across, mining, core, ability, journey, survey, including, Develop, insights, actionsimprovements, NPS, performance, analysis, risks, maintain","principles, support, technical, quantitativebusinessoriented, customer, queries, working, 5, functional, equivalent, practical, delivering, initiatives, analytics, Experience, research, blending, satisfaction, field, experiment, operational, measuring, experience, years, market, multiple, R, writing, Tableau, leading, survey, metrics, across, clickstream, degree, SQL, including, andor, design, BABS, insights, success, SPSS, using, statistical, analysis, qualitative, Python, areas, data","deliver, strategically, decisions, paced, crossfunctional, balancing, projects, support, identify, quantitative, consistently, technology, factors, complex, presentations, build, multichannel, PhD, influencer, eg, new, ambiguity, range, Experience, solutions, deadlines, field, making, environment, opportunities, identifying, dynamic, Capability, chat, phone, think, work, drive, MBA, levels, broad, MS, relationships, executivelevel, internal, proposing, strong, highquality, across, Ability, ability, problems, email, high, degree, external, outputs, teams, related, tight, quality, passion, Demonstrated, Passion, social, collaboration, clientcustomer"
Google,"Solution Architect, Google Cloud Platform (Apigee)",Technical Solutions,"Amsterdam, Netherlands","requirements, engineering, technical, Apigee, Produce, business, build, value, specifications, mentorship, Customer, solutions, product, Travel, liaison, provide, demonstrate, commercialize, partners, closely, solutionsimplementations, architectural, project, drivers, cloudbased, align, hybrid, solution, customers, time, design, teams, 50, required, geographically, distributed, leadership, Act, cloud, quality, help, onpremises, Work, order","NET, following, engineering, Java, German, technical, French, equivalent, practical, fluently, field, English, Ruby, experience, idiomatically, Programming, write, Ability, one, NodeJS, degree, speak, C, BABS, JavaScript, Python","global, engineering, balancing, stakeholders, Google, Excellent, skills, based, virtualization, systems, sound, deep, public, sales, networking, development, written, Experience, infrastructure, solutions, handson, REST, product, limitations, SOAP, implementing, standards, communicate, security, partners, verbal, influence, end, private, OAuth, architecting, internal, presentation, hybrid, Ability, load, communication, external, well, understanding, design, andor, API, distributed, teams, considerations, related, familiarity, operations, cloud, HTTP, consumers, effectively, areas"
Google,Manufacturing Test Engineer,Hardware Engineering,"South San Francisco, CA, United States",nan,nan,nan
Google,"Machine Learning Product Specialist, Google Cloud (EMEA)",Technical Solutions,"Frankfurt, Germany","customerpartner, resources, technical, prototype, qualify, application, technology, delivery, value, Make, coordination, white, messaging, management, right, product, advocacy, project, RFI, practice, Platform, Sales, onsite, responsibility, highlight, Google, implement, effort, business, documents, discovery, products, opportunities, bid, proofofconcept, environments, trial, recommendations, reviews, frequently, customers, optimize, complete, Work, gathered, activities, meetings, deliver, requirements, Identify, strategies, Prepare, Cloud, response, demonstrations, infrastructure, solutions, Travel, determine, architect, best, around, integration, team, slide, required, using, papers, advice, whiteboard, integrations, meet, architectures, identify, supporting, briefings, presentations, platforms, client, full, handson, demonstrate, work, successfully, enterprise, leading, Take, part, solution, techniques, proposition, responses, conduct, include, including, providing, EMEA, effectiveness","engineering, competitive, dynamics, ecosystem, buying, customer, working, platforms, equivalent, practical, Data, fluently, Experience, infrastructure, field, English, technologies, LearningBig, experience, market, idiomatically, storage, behavior, software, Machine, write, across, Ability, degree, well, speak, related, BABS, Science, cloud, computing, Computer, data","tradeoffs, learn, features, explain, demystify, technical, choose, clean, emerging, PlatformInfrastructureasaService, technology, problem, methodologies, code, Data, Big, new, understand, Experience, solutions, field, quickly, making, space, technologies, right, collect, work, algorithm, type, Machine, writing, given, learning, Ability, customers, techniques, relevant, Masters, ability, degree, related, extract, visualize, Science, cloud, Learning, Computer, purposes, PaaSIaaS, data, advise"
Google,"Software Engineering Manager, Cloud Storage, Site Reliability Engineering",Software Engineering,"Dublin, Ireland","deliver, establish, technical, Eventually, nonexceptional, automate, example, execution, used, Manage, rotations, engineers, worldwide, systems, build, problem, scalability, products, recurrence, endtoend, response, mission, Design, Lead, directly, prevent, oncall, uptime, conditions, credibility, model, automation, storage, care, software, availability, enjoyed, responsible, continents, service, write, efficiency, across, latency, followthesun, team, users, Googles, teams, stellar, improve, record, services, cloud, quality, using, performance, critical","Java, scripting, technical, working, Shell, systems, equivalent, practical, Go, Experience, field, UnixLinux, experience, storage, one, degree, C, Perl, related, BABS, services, Science, cloud, Computer, Python","Effective, global, projects, technical, solving, application, skills, cognitively, engineers, systems, verbally, code, problem, enough, recruiting, networking, large, experienced, expertise, analyzing, management, yet, executive, UnixLinux, experience, hold, storage, software, issues, agile, algorithms, operating, managing, structures, scale, discussion, deepdives, team, communication, Expertise, Proficiency, Googles, design, andor, distributed, complexity, strategy, Demonstrated, IP, performance, Handson, analysis, Capable, enthusiastic, data"
Google,"Global Supply Chain Manager, Display/Touch, Consumer Hardware",Hardware Engineering,"Xinyi District, Taiwan","supply, global, Serve, material, production, implement, Manage, strategies, mass, supplier, readiness, chain, development, Understand, builds, escalation, ensure, component, point, suppliers, availability, lead, issues, time, related, Develop, risks, evaluate, associated","supply, Engineering, chain, equivalent, experience, engineering, practical, years, related, BABS, Mechanical, field, procurement, industry, management, Electrical, technology, 3","supply, global, needed, engineering, travel, crossfunctionally, partnering, commodities, Excellent, skills, sourcing, within, working, supplier, readiness, consultation, 5, chain, overall, collaborating, Experience, management, touch, product, work, experience, years, glass, suppliers, knowledge, managing, consumer, manufacturing, Ability, relevant, communication, processes, teams, displays, operations, Demonstrated, ramp, cover, electronics, collaboration"
Google,"Technical Program Manager, ASIC Development",Program Management,"Sunnyvale, CA, United States","Plan, tradeoff, deliver, Collaborate, requirements, engineering, projects, technical, creating, Manage, deployment, schedule, hardware, platforms, value, products, test, development, understand, Lead, datadriven, credible, articulate, sustaining, manufacturing, milestones, proposition, discussions, teams, design, Engage, coordinate, operations, schedules, maintaining, activities","crossfunctional, hardware, systems, 5, equivalent, practical, development, role, crossorganizational, BS, field, ASIC, management, Electrical, experience, years, software, project, context, degree, Engineering, related, Science, 2, Computer","tapeouts, engineering, successful, goals, developing, resource, execution, skills, within, constraints, schedule, hardware, systems, methodologies, PhD, engineer, challenging, development, large, Experience, chip, ASIC, facilitation, Outstanding, experience, software, leading, Ability, Masters, Track, communication, degree, design, focus, record, motivate, IP, reach, collaboration"
Google,"Quantitative Analyst, Ads Quality",Product & Customer Support,"Zürich, Switzerland","nonroutine, investigations, challenges, crossfunctionally, technical, wide, Solve, streams, complex, Apply, clearly, highly, difficult, methods, large, ads, Lead, Interact, work, communicate, results, multiple, advanced, variety, sets, people, teams, quality, statistical, data","PhD, equivalent, practical, experience, related, MATLAB, data, R, Experience, field, analysis, Python, Econometrics, modeling, Statistics","learn, principles, teach, Bayesian, actions, new, research, Relevant, draw, experience, classical, recommend, experimental, willingness, others, inference, Ability, techniques, industry, Familiarity, conclusions, design, Demonstrated, data"
Google,"Software Engineer Manager, Tools and Infrastructure",Software Engineering,"London, United Kingdom","tools, roadmap, Provide, engineering, Create, Googlewide, manage, challenges, generation, Google, application, individual, Manage, engineers, several, focused, platforms, developer, scalability, test, task, coaching, development, infrastructure, Build, Google’s, adoption, identifying, product, drive, experience, Define, assignment, Machine, innovative, project, knowledge, driving, testability, impact, integration, across, team, relevant, productivity, teams, focusing, classes, strategy, diverse, improving, training, next, Learning, creation, areas","following, Java, engineering, technical, equivalent, practical, capacity, Experience, field, managerial, experience, programming, lead, one, degree, C, andor, related, BABS, Science, languages, Computer, Python","tools, scalable, Artificial, technical, architecture, serving, systems, code, PhD, test, development, Experience, infrastructure, field, management, environment, testdriven, automation, Intelligence, Machine, bottleneck, issues, web, managing, Masters, frameworks, components, people, degree, teams, distributed, related, leadership, refactoring, Science, developers, dealing, frontend, Learning, testing, Computer, building"
Google,Head of Professional Services,Program Management,"London, United Kingdom","deliver, Cloud’s, successful, proactively, gotomarket, stakeholders, manage, developing, migrations, technical, region, sharing, Google, team’s, engagements, customer, execution, practices, example, accounts, priorities, met, regions, PSOpartner, Cloud, delivery, counterparts, business, IT, client, Organization, solutions, Build, channel, Lead, Establish, making, Google’s, regarding, shared, gained, strategic, key, partners, Services, recommendations, capabilities, standard, actively, practice, comes, best, across, customers, leads, team, Professional, Set, position, advisor, Emphasize, Share, ensuring, success, executives, using, Work, strategies, maintain, establishing","plans, contributing, travel, technical, creating, equivalent, practical, development, Experience, infrastructure, internationally, datadriven, implementing, experience, teammates, running, domestically, enterprise, managing, solution, Ability, team, time, degree, approach, 30, required, BABS, professionally, publichybrid, cloud, largescale, migration, using, mentoring, scaling, architectures, onboarding","deliver, base, stakeholder, crossfunctional, successful, technical, Google, engage, account, customer, working, Cloud, systems, present, nontechnical, eg, client, senior, large, Experience, solutions, channel, etc, integrators, consulting, management, enterprises, matters, work, experience, dispersed, partners, enterprise, Azure, service, cloudbased, Ability, ability, team, third, party, andor, Platform, materials, geographically, diverse, migration, applicationworkload, Demonstrated, developers, executives, effectively, groups, AWS"
Google,"Survey Lead, Google Cloud Support",Product & Customer Support,"Sunnyvale, CA, United States","track, Provide, stakeholders, support, manage, Google, quantitative, score, customer, dashboards, execution, effort, Demonstrate, Cloud, Apply, business, overall, products, smooth, Build, satisfaction, etc, partner, launches, ensure, operational, monitor, program, provide, meaningful, drive, influence, scientists, promoter, reports, level, data, presentation, net, metrics, across, mining, core, ability, journey, survey, including, Develop, insights, actionsimprovements, NPS, performance, analysis, risks, maintain","principles, support, technical, quantitativebusinessoriented, customer, queries, working, 5, functional, equivalent, practical, delivering, initiatives, analytics, Experience, research, blending, satisfaction, field, experiment, operational, measuring, experience, years, market, multiple, R, writing, Tableau, leading, survey, metrics, across, clickstream, degree, SQL, including, andor, design, BABS, insights, success, SPSS, using, statistical, analysis, qualitative, Python, areas, data","deliver, strategically, decisions, paced, crossfunctional, balancing, projects, support, identify, quantitative, consistently, technology, factors, complex, presentations, build, multichannel, PhD, influencer, eg, new, ambiguity, range, Experience, solutions, deadlines, field, making, environment, opportunities, identifying, dynamic, Capability, chat, phone, think, work, drive, MBA, levels, broad, MS, relationships, executivelevel, internal, proposing, strong, highquality, across, Ability, ability, problems, email, high, degree, external, outputs, teams, related, tight, quality, passion, Demonstrated, Passion, social, collaboration, clientcustomer"
Google,"Technical Trainer Manager, Google Cloud",Program Management,"Sunnyvale, CA, United States","tools, global, Trainers, Ensure, goals, resources, crossfunctionally, Grow, Manage, practices, feedback, staffing, delivery, business, schedules, Technical, achieve, Work, place, networks, ensure, shared, necessary, standards, loop, assets, instructors, Optimize, alignment, best, effective, across, team, high, ensuring, training, Curriculum, maintained, performance, access, Training, Development","5, experience, years, Trainers, Technical, 7, Experience, role, managing, management, Training, team","Effective, global, ambiguous, crossfunctional, Infrastructure, skills, working, Cloud, Data, Experience, Comfort, internationally, environment, technologies, dynamic, fastgrowing, Travel, work, Machine, organization, ability, team, understanding, andor, required, Learning, interpersonal"
Google,"Partner Sales Engineer, Google Cloud",Technical Solutions,"München, Germany","deliver, guaranteeing, successful, projects, G, partners’, technical, identify, Google, application, representatives, implement, customer, “best, strategies, Advise, within, feedback, Cloud, Managers, present, built, platforms, complementing, sales, effectiveness, skill, advocate, infrastructure, solutions, practice”, field, partner, opportunities, recruit, product, provide, market, partners, competencies, Keep, successfully, innovative, knowledge, top, differentiators, enterprise, Partner, integration, customers, solution, uptodate, high, Suite, well, teams, Platform, required, providing, Act, Develop, deliverables, quality, optimize, help, complete, advice, Work, order, behalf, architectures","Italian, language, engineering, German, travel, technical, defined, geographic, customer, working, 40, serving, systems, equivalent, engineer, practical, partnerfacing, fluently, sales, Polish, capacity, Experience, role, professional, solutions, field, English, environment, experience, Bachelors, idiomatically, partners, local, architect, Romanian, write, Ability, across, team, time, degree, member, speak, including, andor, required, territory, related, services, Science, cloud, computing, visit, Arabic, Computer","tools, scalable, craft, learn, identity, technical, application, databases, technology, Data, Big, deep, mix, new, understand, Experience, relates, management, story, technologies, software, concepts, Linux, architecting, businesses, understanding, related, memorable, audience, compelling, developing, systems, public, networking, expertise, quickly, space, issues, given, trends, especially, PaaS, well, simple, data, deliver, useful, Cloud, message, build, information, methodologies, everyday, development, solutions, web, knowledge, managing, Ability, tailor, industry, lifecycle, cloud, using, big, language, emerging, within, working, platforms, Knowledge, work, experience, enterprise, IaaS, andor, distributed, SaaS"
Google,"Technical Solutions Engineer, Chrome and Android, Google Cloud",Technical Solutions,"Zürich, Switzerland","tools, process, support, technical, technology, Managers, complex, new, product, consultant, Cultivate, closely, understanding, improve, Act, Sales, Account, indepth, global, Obtain, Google, products, Technical, investigation, Chrome, making, multiple, Management, customers, problems, Deployment, Engineering, Googles, obstacles, quality, Software, Work, groups, maintain, engineering, Guide, customer, architecture, Specialists, implementation, transfer, Interact, drive, Quality, knowledge, ways, 24x7, Product, team, design, Assurance, resolve, perform, base, successful, Diagnose, resolving, deployment, QA, Engineers, Google’s, increase, area, vision, part, efficiency, productivity, function, exceptional, teams, improving, testing, order","clearance, clients, engineering, support, additional, technical, check, systems, equivalent, background, practical, Experience, professional, Government, field, work, experience, Bachelors, sustaining, Ability, undergo, degree, related, services, Science, Computer","Experience, servicesSaaS, system, outstanding, keep, standards, verbal, ability, hosted, detail, understanding, network, JavaScript, followthrough, NET, Java, shell, cookiebased, skills, systems, products, DBMS, written, LinuxUnix, applications, Services, Management, pace, Directory, Familiarity, ie, Demonstrated, programmingscripting, problemsolving, analysis, troubleshooting, XML, data, Effective, servers, LDAP, rapid, eg, etc, Internetbased, web, managing, SMTP, mining, Mailrelated, SSO, Lotus, Handson, administration, supporting, changes, Web, HTML, AD, Exchange, various, Postfix, along, implementing, experience, resourcefulness, attention, mail, enterprise, operating, sendmail, Understanding, one, communication, C, Identity, Perl, HTTP, Python"
Google,"Program Manager, Supply Chain Data Management",Data Center & Network,"Sunnyvale, CA, United States","supply, tools, process, crossfunctional, Ensure, Identify, stakeholders, manage, projects, support, gaps, implement, structure, cleanup, chain, focused, owners, development, buyin, Understand, also, functions, matters, increase, management, automationtool, operational, shared, drive, implementing, Scope, Define, multiple, bridge, elements, integrate, integrity, part, metrics, across, accuracy, around, external, operationalization, responsibilities, improvements, critical, longterm, data","supply, technical, fields, Program, 5, chain, networking, Experience, role, solutions, management, experience, years, Management, leading, across, andor, operations, data","work, organizational, minimal, independently, projects, manage, skills, range, project, Excellent, management, Ability, communication, guidance"
